MT Seed,HP,Atk,Def,SpA,SpD,Spe
072ED893,31,26,31,31,31,31
08D34272,31,10,31,31,31,31
09627344,31,9,31,31,31,31
0BFD8D25,31,13,31,31,31,31
0E3D8C80,31,25,31,31,31,31
107DDC08,31,12,31,31,31,31
11DBC443,31,22,31,31,31,31
11F82C0D,31,2,31,31,31,31
121654FD,31,17,31,31,31,31
13352D14,31,22,31,31,31,31
13B4D696,31,12,31,31,31,31
14719922,31,0,31,31,31,31
15C1A444,31,22,31,31,31,31
161EECF3,31,29,31,31,31,31
19CB2F54,31,11,31,31,31,31
1A9AA917,31,28,31,31,31,31
1B08F9DD,31,15,31,31,31,31
1BDC44B8,31,30,31,31,31,31
1D50AB4A,31,24,31,31,31,31
21D06438,31,21,31,31,31,31
225A5E02,31,21,31,31,31,31
28489E02,31,20,31,31,31,31
28C0141F,31,4,31,31,31,31
298E5CAA,31,24,31,31,31,31
2A667763,31,30,31,31,31,31
2B78922A,31,20,31,31,31,31
2BD6871C,31,1,31,31,31,31
2D97959F,31,1,31,31,31,31
31C26DE4,31,31,31,31,31,31
350CD435,31,29,31,31,31,31
35CEEA4D,31,24,31,31,31,31
3AF1B968,31,10,31,31,31,31
3BAA9276,31,16,31,31,31,31
3CFF9C44,31,3,31,31,31,31
3EDA14A4,31,11,31,31,31,31
41AFBAD8,31,8,31,31,31,31
43AE3258,31,5,31,31,31,31
44990BA7,31,8,31,31,31,31
44D2D032,31,7,31,31,31,31
458C1FA4,31,17,31,31,31,31
45D9F0F1,31,1,31,31,31,31
474644B0,31,12,31,31,31,31
4AAB4F80,31,8,31,31,31,31
4D08E529,31,20,31,31,31,31
4E8DE496,31,22,31,31,31,31
519A0C07,31,31,31,31,31,31
543AF2FA,31,10,31,31,31,31
5491EFEF,31,30,31,31,31,31
55934484,31,22,31,31,31,31
5787B220,31,7,31,31,31,31
5CFFEC6F,31,13,31,31,31,31
5E0BCF71,31,23,31,31,31,31
5F505B98,31,19,31,31,31,31
5FAF2305,31,14,31,31,31,31
5FD3826C,31,13,31,31,31,31
5FEACE3B,31,18,31,31,31,31
631E2071,31,23,31,31,31,31
634CC2B0,31,0,31,31,31,31
63F33C5E,31,15,31,31,31,31
64E76DD6,31,24,31,31,31,31
65297561,31,2,31,31,31,31
67760FC2,31,18,31,31,31,31
705E33EC,31,6,31,31,31,31
71AFC896,31,0,31,31,31,31
73B59F57,31,7,31,31,31,31
749D1917,31,17,31,31,31,31
76AA4F06,31,14,31,31,31,31
788A2BB6,31,8,31,31,31,31
7D129BBB,31,3,31,31,31,31
7E91EEF3,31,8,31,31,31,31
7F937131,31,29,31,31,31,31
7FAE1D91,31,16,31,31,31,31
8250C305,31,4,31,31,31,31
83D0C3D7,31,10,31,31,31,31
83EA4315,31,27,31,31,31,31
88EFDEC2,31,0,31,31,31,31
8B83C24B,31,6,31,31,31,31
8ECE34E9,31,6,31,31,31,31
91A5D674,31,24,31,31,31,31
927DCAF6,31,14,31,31,31,31
95FCBA8F,31,29,31,31,31,31
981F5B50,31,21,31,31,31,31
9C25D43B,31,5,31,31,31,31
A201F3D5,31,5,31,31,31,31
A43E1156,31,30,31,31,31,31
A4EC9A5D,31,8,31,31,31,31
A7CC05A8,31,12,31,31,31,31
A84415CB,31,10,31,31,31,31
AA333835,31,0,31,31,31,31
AA9DD484,31,29,31,31,31,31
AB0271EA,31,7,31,31,31,31
ABD93E44,31,0,31,31,31,31
ACC2D360,31,15,31,31,31,31
ADD877C4,31,0,31,31,31,31
B0FED4EF,31,27,31,31,31,31
B32B6B02,31,0,31,31,31,31
B80B77B6,31,13,31,31,31,31
B847158D,31,25,31,31,31,31
BD24E17B,31,3,31,31,31,31
C28A882E,31,31,31,31,31,31
C31DDEF7,31,0,31,31,31,31
C375C0E8,31,24,31,31,31,31
C443E0E2,31,18,31,31,31,31
C5D71542,31,7,31,31,31,31
C68AD2B9,31,9,31,31,31,31
C84F2D9B,31,13,31,31,31,31
CE22BAAB,31,27,31,31,31,31
D0B67004,31,13,31,31,31,31
D0E29932,31,30,31,31,31,31
D1A57DD4,31,19,31,31,31,31
D1D7CE6F,31,1,31,31,31,31
D286653C,31,0,31,31,31,31
D2F0559D,31,16,31,31,31,31
D402A097,31,14,31,31,31,31
D4C3B6BE,31,12,31,31,31,31
D81B7935,31,29,31,31,31,31
D91F3486,31,21,31,31,31,31
DFE7EBF2,31,31,31,31,31,31
E34372AE,31,31,31,31,31,31
E3F904E3,31,4,31,31,31,31
E4666240,31,24,31,31,31,31
E4680E3F,31,17,31,31,31,31
E6E114B5,31,28,31,31,31,31
EA9B3F6D,31,24,31,31,31,31
EA9FE83A,31,23,31,31,31,31
EC8D2CD4,31,22,31,31,31,31
ED01C9C2,31,31,31,31,31,31
F22F41D6,31,26,31,31,31,31
F279C54C,31,10,31,31,31,31
F2F8199F,31,29,31,31,31,31
F402311F,31,9,31,31,31,31
FC5C8181,31,18,31,31,31,31
FD9A7D2B,31,25,31,31,31,31
FF1EDC97,31,8,31,31,31,31
FF93F944,31,22,31,31,31,31
